Rang Einwohner,Stadt,Einwohner (2024),Kleingärten (2024),Kleingärten / 100 Einwohner
1.0,Berlin,3.800.662,66.0,174
2.0,Hamburg,1.915.582,36.0,188
3.0,München,1.601.739,8.7,54
4.0,Köln,1.094.974,12.0,110
5.0,Frankfurt am Main,775.109,16.0,206
6.0,Bremen,691.703,16.9,244
7.0,Düsseldorf,642.304,6.6,244
8.0,Leipzig,632.562,39.0,617
9.0,Stuttgart,615.487,3.0,49
10.0,Dortmund,601.343,8.2,136
11.0,Essen,597.066,8.5,142
12.0,Dresden,573.648,25.0,436
13.0,Hannover,548.186,20.0,365
14.0,Nürnberg,544.876,8.2,150
15.0,Duisburg,507.876,6.3,124
